"","Line #","Name","Description","Designator","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","RES 0603 2.2K 1%","Resistor Surface Mount, 2.2K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R18, R19","2","Stackpole Electronics","RMCF0603FT2K20","Volume Production","Mouser","708-RMCF0603FT2K20","0.009","0.09"
,"","5-104363-2","Board Connector, 3 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Latch, Black Insulator, Plug","J6, J7","2","TE Connectivity","5-104363-2","Volume Production","Verical, Future Electronics","9864661","0.595","1.19"
,"19","RES 0603 1K 1%","Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R27, R28, R29, R30","4","Stackpole Electronics","RMCF0603FT1K00","Volume Production","NAC Semi","RMCF0603FT1K00","0.005","0.02"
,"","TPS61232DRCT","IC REG BOOST 5V 4A 10VSON","U6","1","Texas Instruments","TPS61232DRCT","Volume Production","Arrow Electronics","TPS61232DRCT","2.01","2.01"
,"","CAP 0805 22UF 10V 20% X5R","Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R","C23, C40","2","Yageo","CC0805MKX5R6BB226","Volume Production","Digikey","311-1900-1-ND","0.25","0.5"
,"","CAP 0805 4.7UF 10V 10% X7R","Capacitor Surface Mount 0805 Footprint 4.7UF 10V 10% Tolerance Ceramic X7R","C24, C25, C26, C27, C28, C36, C37","7","Yageo","CC0805KKX7R7BB475","Volume Production","SHENGYU ELECTRONICS","CC0805KKX7R7BB475","0.1","0.7"
,"","CAP 0603 0.12UF 10V 10% X7R","Capacitor Surface Mount 0603 Footprint 0.12UF 10V 10% Tolerance Ceramic X7R","C38","1","Yageo","CC0603KRX7R6BB124","Volume Production","Digikey","311-4056-1-ND","0.19","0.19"
,"","CAP 0805 10UF 10V 10% X7R","Capacitor Surface Mount 0805 Footprint 10UF 10V 10% Tolerance Ceramic X7R","C39","1","Yageo","CC0805KFX7R6BB106","Volume Production","Digikey","13-CC0805KFX7R6BB106CT-ND","0.24","0.24"
,"","744311100","General Purpose Inductor, 1uH, 20%, 1 Element, SMD, 2827","L1","1","Wurth Electronics","744311100","Volume Production","Digikey","732-4177-1-ND","3.8","3.8"
,"","RES 0603 300K 1%","Resistor Surface Mount, 300K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R20","1","Stackpole Electronics","RMCF0603FT300K","Volume Production","Digikey","RMCF0603FT300KCT-ND","0.1","0.1"
,"","RES 0805 178K 1%","Resistor Surface Mount, 178K Ohms, 0805 Footprint, 1% Tolerance 0.125W","R21","1","Stackpole Electronics","RMCF0603FT178K","Volume Production","Digikey","RMCF0603FT178KCT-ND","0.1","0.1"
,"","CAP 0603 10UF 16V 20% X5R","Capacitor Surface Mount 0603 Footprint 10UF 16V 20% Tolerance Ceramic X5R","C30, C31","2","Yageo","CC0603MRX5R7BB106","Volume Production","Digikey","311-1822-1-ND","0.42","0.84"
,"","0603 link","0O link, SMD, 0603, Solder Bridge Option","JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP32, JP33, JP43, JP44, JP56, JP57, JP58, JP59, JP64, JP89, JP90, JP91, JP93, JP94","38","Stackpole Electronics","RMCF0603ZT0R00","Volume Production","NAC Semi","RMCF0603ZT0R00","0.003","0.114"
